,Gene/Region,GRCh38,"HI Score","TS Score",OMIM,Morbid,%HI,pLI,LOEUF,"Last Eval."
R,"1q21.2 region (polymorphic region)(non-unique; also maps to chromosomes 16, 7, and others in GRCh38)","16:34632766 -36224317","40 (Dosage Sensitivity Unlikely)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,10/22/2020
R,"Yq11.223 population region (DGV_Gold_Standard_June_2021_gssvL138428)",Y:23707042-24000812,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"Yq11.223 population region (DGV_Gold_Standard_June_2021_gssvL138419)",Y:22215719-22319024,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"Xq27.3 population region (DGV_Gold_Standard_June_2021_gssvL137799)",X:143513946-143712498,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"Xq21.1 population region (DGV_Gold_Standard_June_2021_gssvL136501)",X:76917203-76920597,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"Xp11.23 population region (DGV_Gold_Standard_June_2021_gssvL136075)",X:48020900-48092718,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.21 population region (DGV_Gold_Standard_June_2021_gssvL77050)",22:21512587-21554998,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.21 population region (DGV_Gold_Standard_June_2021_gssvL77049)",22:21357191-21387766,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.21 population region (DGV_Gold_Standard_June_2021_gssvL77047)",22:21458269-21562279,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.21 population region (DGV_Gold_Standard_June_2021_gssvL76981)",22:18578203-18649330,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.22 population region (DGV_Gold_Standard_June_2021_gssvL77120)",22:22881268-22896812,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.23 population region (DGV_Gold_Standard_June_2021_gssvL77244)",22:23972100-23992644,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.23 population region (DGV_Gold_Standard_June_2021_gssvL77238)",:-,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"Xq28 population region (gnomAD-SV_v2.1_DEL_X_190964)",X:156008634-156019835,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"Xq28 population region (gnomAD-SV_v2.1_DEL_X_190749)",X:154246526-154256527,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"Xq28 population region (gnomAD-SV_v2.1_DEL_X_190688)",X:153072616-153082817,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"Xq26.3 population region (gnomAD-SV_v2.1_DEL_X_189893)",X:135831689-135847890,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"Xq26.3 population region (gnomAD-SV_v2.1_DEL_X_189886)",X:135779496-135786197,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"Xq24 population region (gnomAD-SV_v2.1_DEL_X_189263)",X:120943262-120986146,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"Xq24 population region (gnomAD-SV_v2.1_DEL_X_189262)",:-,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"Xp11.23 population region (gnomAD-SV_v2.1_DEL_X_186156)",X:49319820-49329571,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q13.1 population region (gnomAD-SV_v2.1_DEL_22_182715)",22:38962303-38992410,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.23 population region (gnomAD-SV_v2.1_DEL_22_181682)",:-,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.23 population region (gnomAD-SV_v2.1_DEL_22_181680)",22:23982108-23992009,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.23 population region (gnomAD-SV_v2.1_DEL_22_181679)",22:23973810-23980811,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.23 population region (gnomAD-SV_v2.1_DEL_22_181670)",22:23931956-23969110,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.21 population region (gnomAD-SV_v2.1_DEL_22_181532)",22:21207910-21215111,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.21 population region (gnomAD-SV_v2.1_DEL_22_181459)",22:21324131-21329132,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.21 population region (gnomAD-SV_v2.1_DEL_22_181452)",22:18601732-18607733,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.21 population region (gnomAD-SV_v2.1_DEL_22_181446)",22:18516557-18521633,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.21 population region (gnomAD-SV_v2.1_DEL_22_181316)",22:18751086-18759487,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"21q22.3 population region (gnomAD-SV_v2.1_DEL_21_181010)",21:46161013-46162994,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"21q11.2 population region (gnomAD-SV_v2.1_DEL_21_178683)",21:13640478-13662379,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"21q11.2 population region (gnomAD-SV_v2.1_DEL_21_178682)",21:13622878-13628879,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"21q11.2 population region (gnomAD-SV_v2.1_DEL_21_178681)",21:13608078-13613779,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173817)",19:54856544-54861645,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173816)",19:54849044-54858545,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173812)",19:54803444-54812145,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173811)",19:54790047-54812548,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173809)",19:54781547-54786548,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173807)",19:54774547-54781548,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"21q11.2 population region (DGV_Gold_Standard_June_2021_gssvL74506)",21:13585184-13829682,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"21q22.3 population region (DGV_Gold_Standard_June_2021_gssvL75982)",21:43549137-43554132,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"21q22.3 population region (DGV_Gold_Standard_June_2021_gssvL76000)",21:43550452-43551866,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"20p11.22 population region (DGV_Gold_Standard_June_2021_gssvL71898)",20:21505887-21516082,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"20q11.21 population region (DGV_Gold_Standard_June_2021_gssvL72187)",20:30274364-30301403,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19p12 population region (DGV_Gold_Standard_June_2021_gssvL57428)",19:21904297-22959138,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19p12 population region (DGV_Gold_Standard_June_2021_gssvL57316)",19:20412004-20542598,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19p13.12 population region (DGV_Gold_Standard_June_2021_gssvL57062)",19:15616920-15676907,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.32 population region (DGV_Gold_Standard_June_2021_gssvL58890)",19:46119085-46125218,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.42 population region (DGV_Gold_Standard_June_2021_gssvL59370)",19:53436136-53473398,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"18q11.2 population region (DGV_Gold_Standard_June_2021_gssvL52661)",18:26167795-26171731,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"18p11.22 population region (DGV_Gold_Standard_June_2021_gssvL52196)",18:9784175-9793227,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"18p11.31 population region (DGV_Gold_Standard_June_2021_gssvL51911)",18:3568885-3571732,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17p11.2 population region (DGV_Gold_Standard_June_2021_gssvL48488)",17:18456476-18473409,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17p11.2 population region (DGV_Gold_Standard_June_2021_gssvL48476)",17:18515275-18561800,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17p11.2 population region (DGV_Gold_Standard_June_2021_gssvL48375)",17:16808292-16821367,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q12 population region (DGV_Gold_Standard_June_2021_gssvL49126)",17:36182399-36224174,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.2 population region (DGV_Gold_Standard_June_2021_gssvL49379)",17:41227065-41240192,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.2 population region (DGV_Gold_Standard_June_2021_gssvL49386)",17:41272898-41277342,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.2 population region (DGV_Gold_Standard_June_2021_gssvL49384)",17:41266736-41274275,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.2 population region (DGV_Gold_Standard_June_2021_gssvL49383)",17:41228039-41236306,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"16p13.3 population region (DGV_Gold_Standard_June_2021_gssvL41949)",16:1239936-1245279,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"16p12.1 population region (DGV_Gold_Standard_June_2021_gssvL43366)",16:25054825-25126057,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (DGV_Gold_Standard_June_2021_gssvL33520)",14:19722540-19957072,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (DGV_Gold_Standard_June_2021_gssvL33589)",14:18685827-18693395,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"14q13.2 population region (DGV_Gold_Standard_June_2021_gssvL34350)",14:35136190-35146114,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"14q32.33 population region (DGV_Gold_Standard_June_2021_gssvL37239)",:-,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"14q32.33 population region (DGV_Gold_Standard_June_2021_gssvL37313)",14:106717601-106728149,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"13q21.33 population region (DGV_Gold_Standard_June_2021_gssvL31119)",13:71902850-71915649,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"13q21.1 population region (DGV_Gold_Standard_June_2021_gssvL30434)",13:57194374-57212808,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23179)",12:10428652-10444444,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"12q23.3 population region (DGV_Gold_Standard_June_2021_gssvL26928)",12:104975237-104980402,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"12p11.1 population region (DGV_Gold_Standard_June_2021_gssvL24290)",12:34202958-34208608,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"12p11.23 population region (DGV_Gold_Standard_June_2021_gssvL23860)",12:27495007-27501798,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23231)",12:11072385-11088297,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23228)",12:11074482-11098540,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23223)",12:11039082-11065026,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173806)",19:54766547-54776548,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173805)",19:54763397-54770148,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173803)",19:54745547-54777548,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173802)",19:54740153-54745554,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173801)",19:54739307-54755684,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173800)",19:54734133-54739234,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.42 population region (gnomAD-SV_v2.1_DEL_19_173749)",19:54297004-54303769,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.41 population region (gnomAD-SV_v2.1_DEL_19_173549)",19:52812971-52820472,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.41 population region (gnomAD-SV_v2.1_DEL_19_173445)",19:51631046-51645747,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.41 population region (gnomAD-SV_v2.1_DEL_19_173443)",19:51624746-51636147,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.31 population region (gnomAD-SV_v2.1_DEL_19_172626)",19:43196847-43211848,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.31 population region (gnomAD-SV_v2.1_DEL_19_172625)",19:43196814-43260657,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"19q13.12 population region (gnomAD-SV_v2.1_DEL_19_172006)",19:35360097-35372373,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.31 population region (gnomAD-SV_v2.1_DEL_17_160670)",17:46560633-46575634,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.31 population region (gnomAD-SV_v2.1_DEL_17_160664)",17:46326533-46332534,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.31 population region (gnomAD-SV_v2.1_DEL_17_160663)",17:46323833-46341084,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.31 population region (gnomAD-SV_v2.1_DEL_17_160662)",17:46321733-46328334,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.31 population region (gnomAD-SV_v2.1_DEL_17_160659)",17:46304333-46309634,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.31 population region (gnomAD-SV_v2.1_DEL_17_160658)",17:46291633-46302634,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.2 population region (gnomAD-SV_v2.1_DEL_17_160290)",17:41265541-41275893,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17q21.2 population region (gnomAD-SV_v2.1_DEL_17_160287)",17:41227747-41238748,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17p11.2 population region (gnomAD-SV_v2.1_DEL_17_159095)",17:19111686-19150687,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"17p11.2 population region (gnomAD-SV_v2.1_DEL_17_159047)",17:18426684-18561836,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"16p11.2 population region (gnomAD-SV_v2.1_DEL_16_153860)",16:32644678-32790679,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"16p11.2 population region (gnomAD-SV_v2.1_DEL_16_153573)",16:28753678-28760679,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"16p11.2 population region (gnomAD-SV_v2.1_DEL_16_153568)",16:28703778-28759679,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/04/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16784)",11:4947458-4959002,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16737)",11:4234219-4256896,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16732)",11:4242862-4288500,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"11p15.5 population region (DGV_Gold_Standard_June_2021_gssvL16511)",11:1894015-1915772,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"11p15.1 population region (DGV_Gold_Standard_June_2021_gssvL17400)",11:18920312-18943051,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16961)",11:7788205-7813338,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16881)",11:5852754-5862269,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"11q22.2 population region (DGV_Gold_Standard_June_2021_gssvL21098)",11:102880376-102882132,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
